Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Consing/Data.List:10,3.5242995741097305e-9,3.5219280389679607e-9,3.5264011175696496e-9,7.803864494938267e-12,6.853780389215837e-12,9.123047353421015e-12
Consing/Data.Vector:10,2.467363290506115e-8,2.4654137037114073e-8,2.4692294131400977e-8,6.746365764614137e-11,5.44184389423219e-11,8.78906573452915e-11
Consing/Data.Vector.Unboxed:10,1.4598090277874841e-8,1.4586476954339947e-8,1.4611778671024043e-8,4.3308624523531855e-11,2.959044728141311e-11,7.414544271820217e-11
Consing/Data.Vector.Storable:10,1.6732821504728498e-8,1.6722371484168475e-8,1.67418900227678e-8,3.2604219158333363e-11,2.8047317883353813e-11,3.818403006490692e-11
Consing/Data.Sequence:10,7.134751736224726e-9,7.128972592268708e-9,7.140768762761828e-9,2.0615772733250307e-11,1.6060519243103965e-11,2.5935914467029867e-11
Consing/Data.RRBVector:10,2.6608557024786726e-8,2.6590785898442127e-8,2.6626871844314692e-8,5.997539201573005e-11,4.965493707562392e-11,7.415419832342674e-11
Consing/Data.List:100,3.5263122227662772e-9,3.524167592869604e-9,3.5284463194747166e-9,7.275977871229223e-12,5.412504590539594e-12,1.0103319127961014e-11
Consing/Data.Vector:100,8.682218842915044e-8,8.675404988526983e-8,8.687819471370385e-8,2.1394936911926966e-10,1.746842521340426e-10,2.6812376250176465e-10
Consing/Data.Vector.Unboxed:100,3.4573550920687674e-8,3.4553135245801264e-8,3.459581774191072e-8,7.074322935283329e-11,5.90144869298792e-11,8.685051771929766e-11
Consing/Data.Vector.Storable:100,4.317130989929197e-8,4.314261809302245e-8,4.320033635016056e-8,9.792915874496355e-11,8.245271885410768e-11,1.260884990464249e-10
Consing/Data.Sequence:100,7.49036538001913e-9,7.478646699176535e-9,7.502859468805003e-9,3.917508421039621e-11,3.474583584441784e-11,4.7179931522695046e-11
Consing/Data.RRBVector:100,7.216871608147813e-8,7.211934170459894e-8,7.223005141972029e-8,1.8636002404211766e-10,1.3993213180642176e-10,2.961486853259149e-10
Consing/Data.List:1000,3.5512038970103425e-9,3.541753125102416e-9,3.564513349949987e-9,3.5564175490275323e-11,2.6806563926619172e-11,5.106925765083792e-11
Consing/Data.Vector:1000,7.323566405051476e-7,7.311302447499806e-7,7.332932237695214e-7,3.7542364942770055e-9,3.0182862451127266e-9,4.776887605452915e-9
Consing/Data.Vector.Unboxed:1000,2.2964682704697144e-7,2.2948467229848548e-7,2.2982530674309116e-7,5.707675565517704e-10,4.910585239504695e-10,6.85389494772748e-10
Consing/Data.Vector.Storable:1000,2.3325781932820196e-7,2.330734627676457e-7,2.334375644500344e-7,6.375440770093072e-10,5.374772926458212e-10,7.83998459198207e-10
Consing/Data.Sequence:1000,7.400557329814816e-9,7.392252046287504e-9,7.409360621758797e-9,3.0611157625767246e-11,2.6561557157399857e-11,3.5397461002375175e-11
Consing/Data.RRBVector:1000,7.242115149586787e-8,7.237181668304365e-8,7.24662770816978e-8,1.572471101860644e-10,1.2955073602780825e-10,2.0343055371598127e-10
Consing/Data.List:10000,3.5249936252898372e-9,3.5222425772610296e-9,3.5277123390094716e-9,9.325232502064758e-12,7.964190390159756e-12,1.1052671133419666e-11
Consing/Data.Vector:10000,7.387106613340246e-6,7.382190846545345e-6,7.393209113025759e-6,1.8055259023615492e-8,1.4095499558764441e-8,2.467043290524331e-8
Consing/Data.Vector.Unboxed:10000,2.5027535410247206e-6,2.500863790514823e-6,2.504342375515572e-6,5.699469729911306e-9,4.9159793570987706e-9,6.797612879706259e-9
Consing/Data.Vector.Storable:10000,2.4708814028463147e-6,2.4689697907358297e-6,2.4725325250633138e-6,5.906453352883066e-9,4.968427167078807e-9,7.709836172550647e-9
Consing/Data.Sequence:10000,7.393917586622696e-9,7.385555061772973e-9,7.400501196531684e-9,2.372419200447289e-11,1.9060587254733814e-11,3.0633128378476087e-11
Consing/Data.RRBVector:10000,7.777592444476343e-8,7.771516400312803e-8,7.791004677086774e-8,2.9210339779687423e-10,1.9509433444611826e-10,5.187444620389234e-10
Indexing/Data.List:10,1.7733510405159838e-8,1.7698352295839026e-8,1.7771537208160633e-8,1.22916587376496e-10,9.497587333657887e-11,1.72579696990915e-10
Indexing/Data.Vector:10,7.247978177511944e-9,7.2296646222565515e-9,7.263172180837486e-9,5.823961925866167e-11,4.674674461032184e-11,7.930033053018631e-11
Indexing/Data.Vector.Unboxed:10,7.880043817967255e-9,7.873994199536411e-9,7.886231056818882e-9,2.04586797802495e-11,1.6593179046225167e-11,2.4970446129350537e-11
Indexing/Data.Vector.Storable:10,7.43349828356993e-9,7.425468470079974e-9,7.441215542803445e-9,2.6198267265030648e-11,2.165744755514387e-11,3.274479164850003e-11
Indexing/Data.Sequence:10,2.6048196036534773e-8,2.6027011606017e-8,2.6070797155680798e-8,7.482983846348677e-11,6.335308971531378e-11,9.131172083927073e-11
Indexing/Data.Massiv.Array:10,1.0688140344502977e-8,1.0674489105966802e-8,1.0702370683656583e-8,4.55714646228246e-11,3.7875645181213096e-11,5.610615589854969e-11
Indexing/Data.RRBVector:10,1.6479525487953466e-8,1.6465541242583148e-8,1.6494409826548283e-8,4.813454667871482e-11,3.9035223901243e-11,5.889842907503901e-11
Indexing/Data.List:100,1.4600315600929224e-7,1.457390273267492e-7,1.4618515105510405e-7,7.257451355660419e-10,5.718957424809461e-10,1.0527444316091981e-9
Indexing/Data.Vector:100,7.236406846278806e-9,7.219536668359414e-9,7.2559386083935655e-9,5.886879044489978e-11,4.6581560453174076e-11,8.151159779652683e-11
Indexing/Data.Vector.Unboxed:100,7.8798896770902e-9,7.873159575438883e-9,7.88513745559798e-9,2.0032992600630166e-11,1.7304844814574586e-11,2.4073684221584446e-11
Indexing/Data.Vector.Storable:100,7.43039198820399e-9,7.424408226785349e-9,7.437314203500783e-9,2.1476776703408068e-11,1.809889684823481e-11,2.6975910451359222e-11
Indexing/Data.Sequence:100,4.9263729938996036e-8,4.923220864475899e-8,4.929833616398662e-8,1.1459813617396864e-10,9.368154639380941e-11,1.4427403171076406e-10
Indexing/Data.Massiv.Array:100,1.0647918742084858e-8,1.0639941261087992e-8,1.065725737598386e-8,2.967792866917701e-11,2.511693500642861e-11,3.606185940552112e-11
Indexing/Data.RRBVector:100,1.6424940109225753e-8,1.6409923573085367e-8,1.6437768048880753e-8,4.666255917459965e-11,3.997005655061161e-11,5.555327289091746e-11
